CustomerID,PurchasingSegment,PurchaseAmount,PurchaseFrequency,WebsiteBehaviorSegment,WebsiteVisits,TimeOnSite,BounceRate,CombinedSegment
25,VIP Shopper,3297,8,Casual Browsers,1,3.76,81,VIP Shopper & Casual Browsers
26,Loyal Shopper,945,10,Active Visitors,42,10.61,23.83,Loyal Shopper & Active Visitors
27,Casual Shopper,1724,1,Casual Browsers,18,2.18,22.44,Casual Shopper & Casual Browsers
28,Casual Shopper,2959,2,Casual Browsers,48,2.35,50.45,Casual Shopper & Casual Browsers
29,Loyal Shopper,980,7,Active Visitors,40,11.9,26.08,Loyal Shopper & Active Visitors
30,Casual Shopper,4434,4,Active Visitors,33,11.75,0.91,Casual Shopper & Active Visitors
31,Loyal Shopper,773,8,Bouncers,12,17.68,64.83,Loyal Shopper & Bouncers
32,VIP Shopper,2990,11,Bouncers,8,11.6,51.11,VIP Shopper & Bouncers
33,Loyal Shopper,1139,3,Active Visitors,24,19.24,44.55,Loyal Shopper & Active Visitors
34,VIP Shopper,4628,6,Casual Browsers,16,1.93,96.7,VIP Shopper & Casual Browsers
35,Loyal Shopper,985,9,Casual Browsers,4,2.86,57.12,Loyal Shopper & Casual Browsers
36,Casual Shopper,2345,1,Casual Browsers,38,1.84,86.34,Casual Shopper & Casual Browsers
37,Loyal Shopper,205,1,Casual Browsers,44,4.52,13.95,Loyal Shopper & Casual Browsers
38,Loyal Shopper,1120,8,Bouncers,27,11.28,56.92,Loyal Shopper & Bouncers
39,Casual Shopper,2008,3,Bouncers,9,13.27,86.8,Casual Shopper & Bouncers
40,Casual Shopper,2551,5,Casual Browsers,47,1.87,58.31,Casual Shopper & Casual Browsers
41,Casual Shopper,4269,1,Bouncers,16,18.97,71.8,Casual Shopper & Bouncers
42,Casual Shopper,3880,5,Active Visitors,12,17,37.2,Casual Shopper & Active Visitors
43,Loyal Shopper,904,11,Casual Browsers,31,6.64,9.24,Loyal Shopper & Casual Browsers
44,Loyal Shopper,689,6,Casual Browsers,24,2.47,45.79,Loyal Shopper & Casual Browsers
45,VIP Shopper,2288,8,Casual Browsers,14,4.23,39.45,VIP Shopper & Casual Browsers
46,Loyal Shopper,1652,3,Casual Browsers,45,3.41,86.71,Loyal Shopper & Casual Browsers
47,Loyal Shopper,491,3,Casual Browsers,25,3.34,24.4,Loyal Shopper & Casual Browsers
48,VIP Shopper,4678,11,Bouncers,34,10.85,96.67,VIP Shopper & Bouncers
49,Loyal Shopper,1386,11,Bouncers,3,5.67,95.81,Loyal Shopper & Bouncers
50,VIP Shopper,3750,10,Casual Browsers,24,7.8,24.76,VIP Shopper & Casual Browsers
51,Loyal Shopper,998,9,Active Visitors,42,19.8,34.81,Loyal Shopper & Active Visitors
52,Casual Shopper,3423,4,Bouncers,9,14,89.56,Casual Shopper & Bouncers
53,Loyal Shopper,509,4,Bouncers,26,19.03,96.66,Loyal Shopper & Bouncers
54,VIP Shopper,4696,7,Casual Browsers,20,3.71,44.34,VIP Shopper & Casual Browsers
55,Loyal Shopper,442,2,Casual Browsers,40,8.26,32.1,Loyal Shopper & Casual Browsers
56,VIP Shopper,3988,8,Bouncers,10,11.54,52.61,VIP Shopper & Bouncers
57,Loyal Shopper,1837,6,Casual Browsers,19,2.46,68.78,Loyal Shopper & Casual Browsers
58,Casual Shopper,4990,3,Casual Browsers,3,1.08,27.35,Casual Shopper & Casual Browsers
59,VIP Shopper,2307,9,Bouncers,24,13.74,73.65,VIP Shopper & Bouncers
60,Loyal Shopper,1188,5,Active Visitors,5,13.19,5.17,Loyal Shopper & Active Visitors
61,VIP Shopper,3858,8,Active Visitors,3,8.8,4.93,VIP Shopper & Active Visitors
62,VIP Shopper,4791,7,Active Visitors,27,10.3,38.63,VIP Shopper & Active Visitors
63,VIP Shopper,2504,8,Casual Browsers,16,8.89,35.35,VIP Shopper & Casual Browsers
64,Loyal Shopper,1516,7,Casual Browsers,49,1.46,31.56,Loyal Shopper & Casual Browsers
65,Casual Shopper,3724,3,Casual Browsers,15,7.37,49.1,Casual Shopper & Casual Browsers
66,Loyal Shopper,1427,2,Casual Browsers,35,4.36,32.07,Loyal Shopper & Casual Browsers
67,VIP Shopper,2647,7,Casual Browsers,12,2.87,19.23,VIP Shopper & Casual Browsers
68,Loyal Shopper,191,3,Active Visitors,41,19.18,30.95,Loyal Shopper & Active Visitors
69,Casual Shopper,2709,3,Bouncers,44,12.39,97.49,Casual Shopper & Bouncers
70,Casual Shopper,4646,2,Active Visitors,26,14.84,41.11,Casual Shopper & Active Visitors
71,Loyal Shopper,889,4,Casual Browsers,47,6.99,44.47,Loyal Shopper & Casual Browsers
72,VIP Shopper,3668,8,Casual Browsers,34,8.47,57.65,VIP Shopper & Casual Browsers
73,Casual Shopper,3967,1,Bouncers,23,5.5,98.33,Casual Shopper & Bouncers
74,Loyal Shopper,645,1,Casual Browsers,31,2.84,24.16,Loyal Shopper & Casual Browsers
75,Loyal Shopper,1954,5,Casual Browsers,20,4.4,68.13,Loyal Shopper & Casual Browsers
76,Loyal Shopper,330,11,Bouncers,12,16.15,71.6,Loyal Shopper & Bouncers
77,Loyal Shopper,473,5,Bouncers,23,13.87,60.73,Loyal Shopper & Bouncers
78,VIP Shopper,4415,11,Active Visitors,4,11.39,8.86,VIP Shopper & Active Visitors
79,Casual Shopper,4299,1,Bouncers,23,10.03,67.69,Casual Shopper & Bouncers
80,Loyal Shopper,1800,6,Active Visitors,48,18.53,6.41,Loyal Shopper & Active Visitors
81,Casual Shopper,4807,1,Casual Browsers,48,2.38,59.61,Casual Shopper & Casual Browsers
82,Loyal Shopper,2017,5,Casual Browsers,1,6.33,73.96,Loyal Shopper & Casual Browsers
83,VIP Shopper,4138,9,Casual Browsers,25,7.65,21.1,VIP Shopper & Casual Browsers
84,Casual Shopper,4228,5,Bouncers,2,15.87,84.16,Casual Shopper & Bouncers
85,VIP Shopper,2996,6,Active Visitors,30,19.86,3.04,VIP Shopper & Active Visitors
86,Loyal Shopper,1499,8,Bouncers,3,5.57,84.38,Loyal Shopper & Bouncers
87,VIP Shopper,2381,11,Active Visitors,21,17.61,46.03,VIP Shopper & Active Visitors
88,Casual Shopper,2270,1,Active Visitors,25,16.78,21.76,Casual Shopper & Active Visitors
89,Casual Shopper,3839,2,Casual Browsers,20,5.27,13.38,Casual Shopper & Casual Browsers
90,VIP Shopper,2860,9,Bouncers,49,8.59,95.33,VIP Shopper & Bouncers
91,Casual Shopper,4778,3,Active Visitors,22,8.78,7.27,Casual Shopper & Active Visitors
92,Loyal Shopper,1581,6,Active Visitors,21,19.59,19.91,Loyal Shopper & Active Visitors
93,Casual Shopper,4932,5,Casual Browsers,33,4.44,34.78,Casual Shopper & Casual Browsers
94,VIP Shopper,3040,11,Bouncers,38,16.18,62.02,VIP Shopper & Bouncers
95,Casual Shopper,4543,2,Casual Browsers,15,7.35,54.48,Casual Shopper & Casual Browsers
96,Loyal Shopper,1193,7,Active Visitors,46,14.89,12.56,Loyal Shopper & Active Visitors
97,Loyal Shopper,983,4,Active Visitors,15,8.98,28.97,Loyal Shopper & Active Visitors
98,Casual Shopper,1510,1,Active Visitors,46,11.99,23.88,Casual Shopper & Active Visitors
99,Casual Shopper,2773,4,Active Visitors,25,16.82,21.35,Casual Shopper & Active Visitors
100,VIP Shopper,2562,6,Active Visitors,21,16.28,41.11,VIP Shopper & Active Visitors
101,Loyal Shopper,335,7,Bouncers,24,17.46,70.4,Loyal Shopper & Bouncers
102,Loyal Shopper,314,7,Casual Browsers,5,2.13,21.75,Loyal Shopper & Casual Browsers
103,VIP Shopper,2417,7,Active Visitors,6,14.15,36.67,VIP Shopper & Active Visitors
104,Casual Shopper,3497,3,Casual Browsers,49,3.66,39.09,Casual Shopper & Casual Browsers
105,VIP Shopper,4966,6,Bouncers,43,8.9,97.65,VIP Shopper & Bouncers
106,Loyal Shopper,1812,8,Bouncers,48,11.42,95.47,Loyal Shopper & Bouncers
107,Casual Shopper,3098,4,Bouncers,44,8.65,80.01,Casual Shopper & Bouncers
108,VIP Shopper,2431,8,Active Visitors,47,10.87,24.17,VIP Shopper & Active Visitors
109,Casual Shopper,2319,2,Active Visitors,23,19.93,6.8,Casual Shopper & Active Visitors
110,Loyal Shopper,90,10,Casual Browsers,4,3.57,31.69,Loyal Shopper & Casual Browsers
111,Loyal Shopper,117,9,Active Visitors,27,13.83,26.68,Loyal Shopper & Active Visitors
112,Loyal Shopper,1037,9,Casual Browsers,18,8.52,50.59,Loyal Shopper & Casual Browsers
113,VIP Shopper,4058,8,Casual Browsers,21,3.53,77.77,VIP Shopper & Casual Browsers
114,VIP Shopper,3248,10,Casual Browsers,28,4.02,85.83,VIP Shopper & Casual Browsers
115,VIP Shopper,4840,10,Bouncers,35,19.04,84.49,VIP Shopper & Bouncers
116,Casual Shopper,2574,1,Active Visitors,22,17.71,35.97,Casual Shopper & Active Visitors
117,Loyal Shopper,1135,2,Bouncers,40,18.23,68.72,Loyal Shopper & Bouncers
118,Loyal Shopper,2529,6,Active Visitors,23,19.84,31.28,Loyal Shopper & Active Visitors
119,Loyal Shopper,1743,10,Casual Browsers,3,4.96,6.09,Loyal Shopper & Casual Browsers
120,Loyal Shopper,2365,5,Casual Browsers,40,7.75,70.16,Loyal Shopper & Casual Browsers
121,Loyal Shopper,828,9,Active Visitors,10,13.72,0.98,Loyal Shopper & Active Visitors
122,Casual Shopper,4639,5,Active Visitors,25,10.19,40.92,Casual Shopper & Active Visitors
123,Casual Shopper,1635,2,Casual Browsers,49,8.95,32.94,Casual Shopper & Casual Browsers
124,Loyal Shopper,1542,10,Bouncers,8,7.8,69.34,Loyal Shopper & Bouncers
125,Loyal Shopper,710,4,Bouncers,11,12.28,76.62,Loyal Shopper & Bouncers
126,Loyal Shopper,1398,9,Active Visitors,5,11.94,30.41,Loyal Shopper & Active Visitors
127,Casual Shopper,1349,1,Casual Browsers,45,4.07,81.16,Casual Shopper & Casual Browsers
128,VIP Shopper,3990,11,Active Visitors,37,9.96,29.39,VIP Shopper & Active Visitors
129,Casual Shopper,2036,1,Casual Browsers,45,11.52,44.63,Casual Shopper & Casual Browsers
130,Loyal Shopper,2094,7,Bouncers,38,11.84,72.7,Loyal Shopper & Bouncers
131,VIP Shopper,3566,11,Casual Browsers,29,4.99,69.29,VIP Shopper & Casual Browsers
132,Loyal Shopper,1108,3,Bouncers,5,15.1,98.74,Loyal Shopper & Bouncers
133,Loyal Shopper,1026,10,Casual Browsers,9,1.48,22.52,Loyal Shopper & Casual Browsers
134,Casual Shopper,4627,2,Casual Browsers,48,7.74,66.23,Casual Shopper & Casual Browsers
135,Loyal Shopper,777,9,Bouncers,2,15.82,60.97,Loyal Shopper & Bouncers
136,Casual Shopper,2577,3,Bouncers,1,11.71,91.51,Casual Shopper & Bouncers
137,Casual Shopper,3186,2,Casual Browsers,40,5.96,15.64,Casual Shopper & Casual Browsers
138,Loyal Shopper,392,8,Bouncers,30,14.2,75.18,Loyal Shopper & Bouncers
139,Loyal Shopper,1497,10,Bouncers,11,11.78,56.83,Loyal Shopper & Bouncers
140,Loyal Shopper,2429,6,Active Visitors,28,16.13,27.47,Loyal Shopper & Active Visitors
141,VIP Shopper,3709,6,Active Visitors,44,14.97,47.44,VIP Shopper & Active Visitors
142,Loyal Shopper,576,10,Active Visitors,12,12.59,33.38,Loyal Shopper & Active Visitors
143,VIP Shopper,1946,11,Bouncers,39,10.28,57.93,VIP Shopper & Bouncers
144,VIP Shopper,4804,7,Casual Browsers,26,3.53,88.9,VIP Shopper & Casual Browsers
145,Loyal Shopper,2123,7,Casual Browsers,13,5.97,56.93,Loyal Shopper & Casual Browsers
146,VIP Shopper,4965,11,Bouncers,8,8.96,63.17,VIP Shopper & Bouncers
147,Loyal Shopper,455,6,Bouncers,28,12.39,51.87,Loyal Shopper & Bouncers
148,Loyal Shopper,1623,4,Active Visitors,30,10.76,5.12,Loyal Shopper & Active Visitors
149,VIP Shopper,4650,11,Casual Browsers,9,6.48,23.29,VIP Shopper & Casual Browsers
150,VIP Shopper,3790,9,Casual Browsers,39,1.12,49.2,VIP Shopper & Casual Browsers
151,VIP Shopper,4324,6,Active Visitors,31,10.43,31.02,VIP Shopper & Active Visitors
152,Casual Shopper,4277,4,Casual Browsers,21,6.43,18.18,Casual Shopper & Casual Browsers
153,Casual Shopper,1896,3,Bouncers,47,14.96,50.41,Casual Shopper & Bouncers
154,Loyal Shopper,1528,4,Casual Browsers,34,1.45,32.28,Loyal Shopper & Casual Browsers
155,Casual Shopper,2445,3,Active Visitors,31,12.11,25.81,Casual Shopper & Active Visitors
156,Loyal Shopper,821,2,Active Visitors,25,18.89,46.4,Loyal Shopper & Active Visitors
157,Loyal Shopper,628,5,Casual Browsers,12,4.31,13.33,Loyal Shopper & Casual Browsers
158,Casual Shopper,2951,2,Bouncers,1,9.96,92.77,Casual Shopper & Bouncers
159,Loyal Shopper,243,6,Casual Browsers,22,2.74,86.77,Loyal Shopper & Casual Browsers
160,Casual Shopper,2057,3,Bouncers,40,12.89,70.76,Casual Shopper & Bouncers
161,Loyal Shopper,1235,6,Active Visitors,37,11.46,10.62,Loyal Shopper & Active Visitors
162,VIP Shopper,2444,11,Bouncers,47,8.74,77.59,VIP Shopper & Bouncers
163,VIP Shopper,3048,10,Bouncers,1,10.91,80.8,VIP Shopper & Bouncers
164,Loyal Shopper,1842,9,Bouncers,1,18.03,76.78,Loyal Shopper & Bouncers
165,Loyal Shopper,1160,1,Casual Browsers,42,4.73,11.4,Loyal Shopper & Casual Browsers
166,VIP Shopper,4055,6,Casual Browsers,42,1.43,64.39,VIP Shopper & Casual Browsers
167,VIP Shopper,2311,9,Bouncers,21,17.37,83.43,VIP Shopper & Bouncers
168,VIP Shopper,3786,11,Bouncers,15,11.97,57.74,VIP Shopper & Bouncers
169,Casual Shopper,3843,4,Bouncers,17,17.92,64.64,Casual Shopper & Bouncers
170,VIP Shopper,1986,11,Active Visitors,22,12.34,45.84,VIP Shopper & Active Visitors
171,Casual Shopper,4925,2,Bouncers,38,16.39,52.87,Casual Shopper & Bouncers
172,Casual Shopper,4407,4,Active Visitors,35,9.16,3.44,Casual Shopper & Active Visitors
173,Loyal Shopper,779,1,Bouncers,45,15.25,63.9,Loyal Shopper & Bouncers
174,Casual Shopper,4428,3,Active Visitors,16,18.35,8.14,Casual Shopper & Active Visitors
175,VIP Shopper,3501,10,Active Visitors,8,11.87,43.5,VIP Shopper & Active Visitors
176,VIP Shopper,4507,9,Casual Browsers,47,4.43,29.27,VIP Shopper & Casual Browsers
177,VIP Shopper,4586,10,Casual Browsers,17,6.11,54.54,VIP Shopper & Casual Browsers
178,Loyal Shopper,2190,5,Casual Browsers,17,4.77,13.34,Loyal Shopper & Casual Browsers
179,VIP Shopper,1694,11,Casual Browsers,26,5.69,69.16,VIP Shopper & Casual Browsers
180,VIP Shopper,2850,6,Bouncers,13,6.82,79.5,VIP Shopper & Bouncers
181,Loyal Shopper,191,3,Active Visitors,17,11.55,16.34,Loyal Shopper & Active Visitors
182,Loyal Shopper,1505,5,Active Visitors,38,12.17,10.43,Loyal Shopper & Active Visitors
183,VIP Shopper,4846,11,Active Visitors,17,9.1,14.55,VIP Shopper & Active Visitors
184,Loyal Shopper,2146,8,Bouncers,48,12.69,87.71,Loyal Shopper & Bouncers
185,Loyal Shopper,1375,6,Casual Browsers,14,2.55,52.82,Loyal Shopper & Casual Browsers
186,Loyal Shopper,1263,4,Casual Browsers,45,2.67,46.73,Loyal Shopper & Casual Browsers
187,Loyal Shopper,1209,2,Casual Browsers,6,4.26,10.67,Loyal Shopper & Casual Browsers
188,VIP Shopper,4700,9,Bouncers,35,10.84,64.96,VIP Shopper & Bouncers
189,Casual Shopper,4549,1,Casual Browsers,46,5.07,86.8,Casual Shopper & Casual Browsers
190,Casual Shopper,4747,1,Bouncers,14,6.38,82.82,Casual Shopper & Bouncers
191,Loyal Shopper,390,4,Casual Browsers,47,8.61,62.61,Loyal Shopper & Casual Browsers
192,VIP Shopper,3878,7,Active Visitors,8,16.43,7.53,VIP Shopper & Active Visitors
193,Casual Shopper,2018,1,Casual Browsers,15,1.26,11.24,Casual Shopper & Casual Browsers
194,Loyal Shopper,753,9,Active Visitors,27,13.34,4.93,Loyal Shopper & Active Visitors
195,Casual Shopper,4463,4,Active Visitors,13,13.71,25.75,Casual Shopper & Active Visitors
196,Casual Shopper,2479,3,Active Visitors,49,16.17,13.57,Casual Shopper & Active Visitors
197,Casual Shopper,1850,1,Active Visitors,31,18.72,26,Casual Shopper & Active Visitors
198,VIP Shopper,4962,10,Casual Browsers,35,1.38,38.51,VIP Shopper & Casual Browsers
199,Casual Shopper,4698,4,Casual Browsers,6,3.92,94.3,Casual Shopper & Casual Browsers
200,Loyal Shopper,905,9,Bouncers,5,17.84,61.04,Loyal Shopper & Bouncers
201,VIP Shopper,1862,10,Bouncers,22,9.71,83.5,VIP Shopper & Bouncers
202,VIP Shopper,2916,6,Bouncers,49,11.73,71.04,VIP Shopper & Bouncers
203,VIP Shopper,3692,6,Active Visitors,23,13.6,11.25,VIP Shopper & Active Visitors
204,Loyal Shopper,232,1,Bouncers,25,13.9,73.59,Loyal Shopper & Bouncers
205,VIP Shopper,3162,10,Active Visitors,34,18.7,27.51,VIP Shopper & Active Visitors
206,Casual Shopper,4542,2,Bouncers,26,19.94,63.91,Casual Shopper & Bouncers
207,Loyal Shopper,1567,11,Active Visitors,47,14.68,34.1,Loyal Shopper & Active Visitors
208,Loyal Shopper,1406,6,Bouncers,5,6.46,99.77,Loyal Shopper & Bouncers
209,Casual Shopper,2224,2,Active Visitors,26,17.72,26.36,Casual Shopper & Active Visitors
210,Casual Shopper,3679,3,Casual Browsers,20,1.94,27.91,Casual Shopper & Casual Browsers
211,Casual Shopper,3678,4,Bouncers,6,5.39,93.07,Casual Shopper & Bouncers
212,VIP Shopper,4146,11,Active Visitors,6,18.05,2.46,VIP Shopper & Active Visitors
213,Casual Shopper,3289,5,Casual Browsers,18,5.87,69.67,Casual Shopper & Casual Browsers
214,VIP Shopper,3741,9,Casual Browsers,4,5.19,72.53,VIP Shopper & Casual Browsers
215,Loyal Shopper,68,4,Casual Browsers,17,3.62,83.64,Loyal Shopper & Casual Browsers
216,VIP Shopper,3453,11,Bouncers,14,17.32,97.44,VIP Shopper & Bouncers
217,VIP Shopper,4729,9,Bouncers,14,10.5,97.56,VIP Shopper & Bouncers
218,VIP Shopper,4601,11,Active Visitors,13,13.82,6.53,VIP Shopper & Active Visitors
219,VIP Shopper,3054,10,Casual Browsers,7,5.54,82.18,VIP Shopper & Casual Browsers
220,Loyal Shopper,1182,3,Bouncers,44,15.4,64.63,Loyal Shopper & Bouncers
221,VIP Shopper,3389,8,Bouncers,15,15.44,64.73,VIP Shopper & Bouncers
222,Casual Shopper,3361,1,Casual Browsers,19,6.94,12.83,Casual Shopper & Casual Browsers
223,VIP Shopper,3422,11,Casual Browsers,43,8.8,65.02,VIP Shopper & Casual Browsers
224,Loyal Shopper,1037,9,Casual Browsers,47,4.98,98.25,Loyal Shopper & Casual Browsers
225,VIP Shopper,3371,9,Bouncers,44,19.55,91.18,VIP Shopper & Bouncers
226,VIP Shopper,4665,10,Active Visitors,35,13.27,43.91,VIP Shopper & Active Visitors
227,Loyal Shopper,223,2,Active Visitors,17,18.76,3.99,Loyal Shopper & Active Visitors
228,Casual Shopper,3791,4,Casual Browsers,35,6.76,36.23,Casual Shopper & Casual Browsers
229,VIP Shopper,3102,8,Bouncers,19,15.86,82.64,VIP Shopper & Bouncers
230,Loyal Shopper,776,7,Bouncers,20,15.55,70.15,Loyal Shopper & Bouncers
231,Casual Shopper,3810,1,Active Visitors,36,14.14,45.93,Casual Shopper & Active Visitors
232,Loyal Shopper,1925,5,Active Visitors,35,19.35,5.51,Loyal Shopper & Active Visitors
233,VIP Shopper,4083,7,Casual Browsers,32,8.48,42.69,VIP Shopper & Casual Browsers
234,Loyal Shopper,1039,4,Casual Browsers,48,3.48,46.9,Loyal Shopper & Casual Browsers
235,Casual Shopper,3794,1,Bouncers,44,13.76,92.86,Casual Shopper & Bouncers
236,VIP Shopper,2736,9,Bouncers,40,14.86,64.11,VIP Shopper & Bouncers
237,Loyal Shopper,469,5,Active Visitors,24,11.93,31.17,Loyal Shopper & Active Visitors
238,Loyal Shopper,643,11,Casual Browsers,17,4.93,52.53,Loyal Shopper & Casual Browsers
239,Casual Shopper,1824,2,Active Visitors,7,10.58,6.61,Casual Shopper & Active Visitors
240,VIP Shopper,2509,8,Bouncers,43,6.93,97.26,VIP Shopper & Bouncers
241,Loyal Shopper,985,11,Active Visitors,1,9.12,36.01,Loyal Shopper & Active Visitors
242,Casual Shopper,3858,2,Active Visitors,35,13.26,47.79,Casual Shopper & Active Visitors
243,Loyal Shopper,381,3,Active Visitors,32,15.16,35.53,Loyal Shopper & Active Visitors
244,VIP Shopper,3499,10,Casual Browsers,36,5.41,68.25,VIP Shopper & Casual Browsers
245,Casual Shopper,2752,1,Bouncers,13,8.7,66.22,Casual Shopper & Bouncers
246,VIP Shopper,4056,11,Casual Browsers,6,6.11,71.53,VIP Shopper & Casual Browsers
247,Casual Shopper,3918,2,Casual Browsers,14,4.77,26.81,Casual Shopper & Casual Browsers
248,VIP Shopper,4250,7,Active Visitors,37,15.88,31.57,VIP Shopper & Active Visitors
249,Loyal Shopper,251,10,Active Visitors,48,18.28,12.53,Loyal Shopper & Active Visitors
250,Casual Shopper,2547,2,Casual Browsers,15,8.03,65.55,Casual Shopper & Casual Browsers
251,Loyal Shopper,1892,6,Active Visitors,47,15.27,3.98,Loyal Shopper & Active Visitors
252,Casual Shopper,1916,3,Bouncers,4,18.04,59.77,Casual Shopper & Bouncers
253,Loyal Shopper,2046,4,Bouncers,40,17.08,86.97,Loyal Shopper & Bouncers
254,Loyal Shopper,959,11,Casual Browsers,16,4.47,89.08,Loyal Shopper & Casual Browsers
255,VIP Shopper,4355,8,Active Visitors,28,19.17,44.9,VIP Shopper & Active Visitors
256,Casual Shopper,4708,3,Casual Browsers,16,8.16,45.93,Casual Shopper & Casual Browsers
257,VIP Shopper,3239,10,Active Visitors,4,7.45,7.7,VIP Shopper & Active Visitors
258,Loyal Shopper,820,6,Casual Browsers,45,2.19,67.08,Loyal Shopper & Casual Browsers
259,Casual Shopper,3205,1,Bouncers,26,10.24,82.13,Casual Shopper & Bouncers
260,VIP Shopper,2551,7,Casual Browsers,28,3.07,24.47,VIP Shopper & Casual Browsers
261,VIP Shopper,2764,8,Casual Browsers,32,5.72,42.13,VIP Shopper & Casual Browsers
262,VIP Shopper,4774,11,Casual Browsers,45,7.02,83.88,VIP Shopper & Casual Browsers
263,VIP Shopper,3635,8,Bouncers,2,16.37,87.71,VIP Shopper & Bouncers
264,Loyal Shopper,1678,3,Active Visitors,31,17.63,24.32,Loyal Shopper & Active Visitors
265,Loyal Shopper,436,10,Casual Browsers,3,6.75,55.06,Loyal Shopper & Casual Browsers
266,Casual Shopper,3471,1,Active Visitors,8,17.32,19.25,Casual Shopper & Active Visitors
267,VIP Shopper,4058,9,Active Visitors,24,17.29,10.19,VIP Shopper & Active Visitors
268,VIP Shopper,4143,6,Bouncers,15,15.53,91.11,VIP Shopper & Bouncers
269,VIP Shopper,4413,11,Casual Browsers,43,3.79,82.05,VIP Shopper & Casual Browsers
270,VIP Shopper,2516,9,Bouncers,31,14.12,76,VIP Shopper & Bouncers
271,Loyal Shopper,2332,7,Active Visitors,9,18.96,4.88,Loyal Shopper & Active Visitors
272,Casual Shopper,1906,1,Bouncers,39,13.97,84.37,Casual Shopper & Bouncers
273,Casual Shopper,2048,1,Casual Browsers,45,7.3,43.8,Casual Shopper & Casual Browsers
274,Loyal Shopper,1286,6,Active Visitors,2,10.51,34.24,Loyal Shopper & Active Visitors
275,Casual Shopper,4719,5,Bouncers,8,13.27,54.65,Casual Shopper & Bouncers
276,VIP Shopper,4194,9,Active Visitors,7,10.7,9.14,VIP Shopper & Active Visitors
277,Loyal Shopper,1200,2,Casual Browsers,44,3.28,75.66,Loyal Shopper & Casual Browsers
278,VIP Shopper,4368,8,Casual Browsers,39,6.93,58.24,VIP Shopper & Casual Browsers
279,Loyal Shopper,1481,11,Active Visitors,42,16.25,18.66,Loyal Shopper & Active Visitors
280,Loyal Shopper,1869,5,Active Visitors,16,17.37,18.82,Loyal Shopper & Active Visitors
281,Casual Shopper,2374,2,Casual Browsers,35,3.61,18.42,Casual Shopper & Casual Browsers
282,Loyal Shopper,1180,10,Active Visitors,30,19.1,5.7,Loyal Shopper & Active Visitors
283,VIP Shopper,2708,11,Casual Browsers,10,7.25,58.78,VIP Shopper & Casual Browsers
284,VIP Shopper,3550,11,Bouncers,38,13.58,84.03,VIP Shopper & Bouncers
285,Loyal Shopper,424,6,Active Visitors,18,15.28,1.75,Loyal Shopper & Active Visitors
286,VIP Shopper,2170,10,Active Visitors,5,16.43,4.9,VIP Shopper & Active Visitors
287,VIP Shopper,4070,8,Bouncers,29,18.97,57.28,VIP Shopper & Bouncers
288,Loyal Shopper,2071,4,Casual Browsers,39,6.95,81.95,Loyal Shopper & Casual Browsers
289,Casual Shopper,3755,2,Active Visitors,34,17.31,32.67,Casual Shopper & Active Visitors
